demand_id,assigned_facility,travel_time
1,1,1.333473985004005
2,1,4.76551057484126
3,1,17.070537357864243
4,3,12.00234061853904
5,1,18.862407934444946
6,1,16.945592332078906
7,1,13.841811251046051
8,1,10.636298570323788
9,1,10.725556269142148
10,1,18.122523447069664
11,1,24.664487740172024
12,1,14.563909122793127
13,1,10.614898632830627
14,1,17.70086655853059
15,1,7.815388616472746
16,3,19.092600155253173
17,3,15.965664507434289
18,1,22.24480464153231
19,1,19.91984943423474
20,1,10.405909603556802
21,1,20.14271157854608
22,1,12.156794087748944
23,3,12.352498591377708
